Year,POS,Team,IR,FR,BK,BP,FGR,Saf
2016,DEF,ATL,3,2,0,0,0,0
2016,DEF,NO,0,0,0,0,0,1
2016,DEF,NE,0,0,0,0,0,3
2016,DEF,GB,0,0,0,0,0,0
2016,DEF,DAL,0,0,0,0,0,0
2016,DEF,ARI,2,1,0,0,0,2
2016,DEF,OAK,1,0,0,0,0,0
2016,DEF,IND,0,1,0,0,0,0
2016,DEF,SD,3,2,0,0,0,1
2016,DEF,BUF,1,2,0,0,0,0
2016,DEF,PIT,0,1,0,0,0,1
2016,DEF,WAS,0,0,0,0,0,0
2016,DEF,KC,4,1,0,0,0,1
2016,DEF,TEN,0,1,0,0,0,0
2016,DEF,CAR,1,2,0,0,0,1
2016,DEF,PHI,3,0,0,0,0,1
2016,DEF,MIA,1,0,0,1,0,0
2016,DEF,SEA,0,1,0,0,0,1
2016,DEF,TB,4,0,0,0,0,1
2016,DEF,DET,1,0,0,0,0,2
2016,DEF,BAL,0,1,0,1,0,0
2016,DEF,DEN,3,1,0,0,0,0
2016,DEF,MIN,2,2,0,0,0,1
2016,DEF,CIN,0,0,0,0,0,1
2016,DEF,JAX,1,0,0,0,0,0
2016,DEF,NYG,1,2,1,0,0,0
2016,DEF,SF,0,0,0,0,0,1
2016,DEF,CHI,1,1,0,0,0,1
2016,DEF,HOU,1,0,0,0,0,1
2016,DEF,NYJ,0,1,0,0,0,0
2016,DEF,CLE,1,0,0,0,0,0
2016,DEF,LAR,0,1,0,0,0,0
2015,DEF,CAR,4,1,0,0,0,0
2015,DEF,ARI,4,2,0,0,0,2
2015,DEF,NE,0,2,0,0,0,1
2015,DEF,PIT,2,0,0,0,0,0
2015,DEF,SEA,0,3,0,0,0,0
2015,DEF,NYG,2,2,0,0,0,1
2015,DEF,CIN,1,0,0,0,0,0
2015,DEF,NO,0,1,0,1,0,0
2015,DEF,KC,4,2,0,0,0,1
2015,DEF,WAS,1,1,0,1,0,1
2015,DEF,NYJ,0,0,0,0,0,0
2015,DEF,BUF,2,1,0,0,0,1
2015,DEF,PHI,3,1,0,1,0,1
2015,DEF,JAX,1,2,0,0,0,0
2015,DEF,GB,2,1,0,0,0,0
2015,DEF,MIN,2,1,0,0,0,0
2015,DEF,OAK,1,0,0,0,0,2
2015,DEF,DET,1,1,0,0,0,2
2015,DEF,DEN,4,1,0,0,0,1
2015,DEF,TB,1,2,0,0,0,0
2015,DEF,ATL,1,3,0,0,0,0
2015,DEF,HOU,2,1,0,0,0,0
2015,DEF,CHI,0,0,0,0,0,0
2015,DEF,IND,4,1,0,0,0,1
2015,DEF,BAL,1,1,1,0,0,0
2015,DEF,SD,1,0,0,0,0,0
2015,DEF,MIA,3,0,0,0,0,0
2015,DEF,TEN,1,1,0,0,0,0
2015,DEF,LAR,1,2,0,0,0,1
2015,DEF,CLE,2,0,0,0,0,0
2015,DEF,DAL,1,0,0,1,0,1
2015,DEF,SF,1,0,0,0,0,0
2014,DEF,GB,3,1,0,0,0,1
2014,DEF,DEN,2,1,0,0,0,1
2014,DEF,PHI,2,2,0,3,0,0
2014,DEF,NE,0,2,2,0,0,0
2014,DEF,DAL,2,1,0,0,0,0
2014,DEF,IND,1,1,0,0,0,0
2014,DEF,PIT,4,1,0,0,0,1
2014,DEF,BAL,1,0,0,1,0,1
2014,DEF,NO,0,0,0,0,0,2
2014,DEF,SEA,2,0,0,1,0,1
2014,DEF,MIA,2,1,0,0,0,3
2014,DEF,ATL,1,1,0,0,0,0
2014,DEF,NYG,0,1,0,0,0,0
2014,DEF,HOU,4,1,0,1,0,1
2014,DEF,CIN,1,0,0,0,0,3
2014,DEF,KC,1,1,0,0,0,0
2014,DEF,SD,0,3,0,0,0,1
2014,DEF,BUF,0,1,0,1,0,1
2014,DEF,CAR,2,0,0,0,0,0
2014,DEF,MIN,2,2,0,2,0,0
2014,DEF,LAR,3,0,0,0,0,0
2014,DEF,DET,1,1,0,0,0,1
2014,DEF,CHI,1,0,0,0,0,0
2014,DEF,ARI,3,1,0,0,0,0
2014,DEF,SF,2,1,0,0,0,0
2014,DEF,WAS,0,0,0,0,0,0
2014,DEF,CLE,2,1,0,0,0,1
2014,DEF,NYJ,0,0,0,0,0,1
2014,DEF,TB,3,0,0,0,0,0
2014,DEF,TEN,1,1,0,0,0,1
2014,DEF,OAK,0,1,0,1,0,0
2014,DEF,JAX,1,2,0,0,0,1
2013,DEF,DEN,1,1,0,1,0,0
2013,DEF,CHI,5,1,0,0,0,0
2013,DEF,NE,2,1,0,0,0,0
2013,DEF,PHI,1,1,0,0,0,2
2013,DEF,DAL,2,3,0,0,0,0
2013,DEF,CIN,4,2,0,1,0,0
2013,DEF,KC,5,2,0,0,0,0
2013,DEF,GB,0,3,0,0,0,0
2013,DEF,SEA,3,1,0,0,0,2
2013,DEF,NO,0,0,0,0,0,0
2013,DEF,SF,2,3,0,0,0,1
2013,DEF,SD,1,0,0,0,0,0
2013,DEF,DET,1,1,0,0,0,2
2013,DEF,IND,1,0,1,0,0,2
2013,DEF,MIN,0,1,0,0,0,0
2013,DEF,ARI,4,1,0,0,0,2
2013,DEF,PIT,3,0,0,0,0,1
2013,DEF,CAR,4,0,0,0,0,0
2013,DEF,TEN,1,2,0,0,0,0
2013,DEF,ATL,2,1,0,0,0,0
2013,DEF,LAR,2,3,0,0,0,1
2013,DEF,BUF,2,1,0,0,0,0
2013,DEF,WAS,4,1,0,0,0,0
2013,DEF,OAK,1,2,0,1,0,0
2013,DEF,BAL,1,0,0,0,0,0
2013,DEF,MIA,2,0,0,0,0,1
2013,DEF,CLE,3,1,0,0,0,0
2013,DEF,NYG,2,0,0,1,0,0
2013,DEF,NYJ,1,0,0,1,0,1
2013,DEF,TB,3,0,0,0,0,1
2013,DEF,HOU,1,0,0,0,0,1
2013,DEF,JAX,1,1,0,0,0,3
2012,DEF,NE,2,4,0,0,0,1
2012,DEF,DEN,5,1,0,0,0,2
2012,DEF,NO,4,0,0,1,0,0
2012,DEF,WAS,3,3,0,0,0,0
2012,DEF,GB,1,1,0,1,0,0
2012,DEF,NYG,1,1,0,0,0,0
2012,DEF,ATL,1,1,0,0,0,0
2012,DEF,HOU,3,0,0,2,0,1
2012,DEF,SEA,2,1,1,1,0,0
2012,DEF,BAL,2,0,0,0,0,0
2012,DEF,SF,2,2,0,0,0,1
2012,DEF,CIN,2,1,0,0,0,0
2012,DEF,TB,3,0,0,1,0,0
2012,DEF,MIN,3,0,0,0,0,0
2012,DEF,DAL,1,2,0,0,0,0
2012,DEF,CHI,8,1,0,1,0,0
2012,DEF,DET,0,0,0,0,0,1
2012,DEF,CAR,3,1,0,0,0,1
2012,DEF,IND,4,0,0,0,0,0
2012,DEF,SD,5,2,0,0,0,1
2012,DEF,BUF,1,0,0,0,0,1
2012,DEF,PIT,1,0,0,0,0,0
2012,DEF,TEN,4,1,0,0,0,1
2012,DEF,CLE,2,0,0,0,0,0
2012,DEF,LAR,4,1,0,0,0,1
2012,DEF,OAK,0,0,0,0,0,0
2012,DEF,MIA,0,0,0,1,0,0
2012,DEF,NYJ,2,1,0,0,0,1
2012,DEF,PHI,0,0,0,0,0,0
2012,DEF,JAX,0,0,0,1,0,0
2012,DEF,ARI,2,1,1,0,0,0
2012,DEF,KC,0,1,0,0,0,1
,,,,,,,,
