Year,POS,Player,Team,PAT,FG,FG_0_19,FG_20_29,FG_30_39,FG_40_49,FG_50
2016,K,Matt Bryant,Atl,56,34,0,12,7,9,6
2016,K,Justin Tucker,Bal,27,38,0,4,10,14,10
2016,K,Dustin Hopkins,Was,36,34,0,12,12,7,3
2016,K,Caleb Sturgis,Phi,30,35,0,12,12,7,4
2016,K,Wil Lutz,NO,49,28,1,7,9,8,3
2016,K,Cairo Santos,KC,36,31,0,8,15,6,2
2016,K,Steven Hauschka,Sea,29,33,0,11,13,8,1
2016,K,Dan Bailey,Dal,46,27,0,9,8,7,3
2016,K,Stephen Gostkowski,NE,46,27,0,9,7,9,2
2016,K,Nick Novak,Hou,22,35,1,12,11,8,3
2016,K,Adam Vinatieri,Ind,44,27,0,3,7,10,7
2016,K,Sebastian Janikowski,Oak,37,29,1,9,6,10,3
2016,K,Matt Prater,Det,31,31,0,10,4,10,7
2016,K,Mason Crosby,GB,44,26,1,6,13,5,1
2016,K,Graham Gano,Car,31,30,0,4,9,14,3
2016,K,Josh Lambo,SD,42,26,0,7,13,6,0
2016,K,Brandon McManus,Den,32,29,0,9,10,7,3
2016,K,Jason Myers,Jax,29,27,0,7,3,10,7
2016,K,Chandler Catanzaro,Ari,43,21,1,5,6,6,3
2016,K,Nick Folk,NYJ,24,27,0,12,10,3,2
2016,K,Ryan Succop,Ten,39,22,1,4,6,8,3
2016,K,Chris Boswell,Pit,36,21,0,2,8,11,0
2016,K,Roberto Aguayo,TB,32,22,0,5,13,4,0
2016,K,Dan Carpenter,Buf,40,19,1,8,5,4,1
2016,K,Mike Nugent,Cin,23,23,0,9,9,5,0
2016,K,Andrew Franks,Mia,41,16,0,8,6,1,1
2016,K,Phil Dawson,SF,33,18,0,4,6,7,1
2016,K,Connor Barth,Chi,31,18,0,7,7,3,1
2016,K,Cody Parkey,Cle,20,20,0,6,6,7,1
2016,K,Greg Zuerlein,LA,23,19,0,5,9,3,2
2016,K,Kai Forbath,Min,11,15,0,5,5,4,1
2016,K,Blair Walsh,Min,15,12,1,1,5,4,1
2016,K,Robbie Gould,NYG,20,10,0,3,3,4,0
2016,K,Josh Brown,NYG,9,11,1,3,3,4,0
2016,K,Randy Bullock,Pit,9,8,0,4,2,2,0
2016,K,Patrick Murray,Cle,3,1,0,0,1,0,0
2015,K,Stephen Gostkowski,NE,52,33,0,6,11,12,4
2015,K,Graham Gano,Car,56,30,1,10,4,13,2
2015,K,Chandler Catanzaro,Ari,53,28,1,12,9,6,0
2015,K,Blair Walsh,Min,33,34,0,9,13,6,6
2015,K,Josh Brown,NYG,44,30,1,6,12,8,3
2015,K,Cairo Santos,KC,39,30,0,7,10,9,4
2015,K,Justin Tucker,Bal,29,33,0,10,9,10,4
2015,K,Robbie Gould,Chi,28,33,1,8,10,7,7
2015,K,Steven Hauschka,Sea,40,29,0,9,7,7,6
2015,K,Brandon McManus,Den,35,30,0,12,8,5,5
2015,K,Mike Nugent,Cin,48,23,0,6,5,10,2
2015,K,Dan Bailey,Dal,25,30,0,9,10,6,5
2015,K,Dustin Hopkins,Was,39,25,0,7,9,7,2
2015,K,Chris Boswell,Pit,26,29,1,9,8,9,2
2015,K,Jason Myers,Jax,32,26,0,9,8,6,3
2015,K,Mason Crosby,GB,36,24,1,7,4,8,4
2015,K,Adam Vinatieri,Ind,32,25,0,7,6,8,4
2015,K,Travis Coons,Cle,22,28,0,11,10,7,0
2015,K,Josh Lambo,SD,28,26,0,4,7,11,4
2015,K,Dan Carpenter,Buf,34,23,0,5,8,7,3
2015,K,Matt Prater,Det,36,22,0,3,8,6,5
2015,K,Sebastian Janikowski,Oak,38,21,0,7,5,5,4
2015,K,Connor Barth,TB,25,23,0,9,8,3,3
2015,K,Phil Dawson,SF,20,24,0,9,6,6,3
2015,K,Caleb Sturgis,Phi,35,18,0,4,8,4,2
2015,K,Greg Zuerlein,Stl,26,20,1,2,9,5,3
2015,K,Nick Novak,Hou,29,18,0,6,6,4,2
2015,K,Randy Bullock,NYJ,22,19,1,4,6,8,0
2015,K,Andrew Franks,Mia,33,13,1,3,4,4,1
2015,K,Ryan Succop,Ten,29,14,0,3,3,7,1
2015,K,Matt Bryant,Atl,26,14,1,4,3,6,0
2015,K,Kai Forbath,Was,34,10,0,2,3,3,2
2015,K,Nick Folk,NYJ,19,13,0,2,6,3,2
2015,K,Zach Hocker,Stl,12,10,0,3,5,1,1
2015,K,Shayne Graham,Atl,8,11,0,2,4,2,3
2015,K,Kyle Brindza,TB,6,6,0,1,2,1,2
2015,K,Josh Scobee,Pit,6,6,0,2,1,3,0
2015,K,Cody Parkey,Phi,7,3,0,1,1,1,0
2015,K,Ryan Quigley,NYJ,4,0,0,0,0,0,0
2014,K,Stephen Gostkowski,NE,51,35,1,11,10,12,1
2014,K,Cody Parkey,Phi,54,32,0,10,14,4,4
2014,K,Adam Vinatieri,Ind,50,30,0,10,10,7,3
2014,K,Mason Crosby,GB,53,27,0,7,11,5,4
2014,K,Steven Hauschka,Sea,41,31,0,10,10,9,2
2014,K,Dan Carpenter,Buf,31,34,0,9,12,7,6
2014,K,Shaun Suisham,Pit,45,29,0,12,6,10,1
2014,K,Dan Bailey,Dal,56,25,0,6,6,8,5
2014,K,Randy Bullock,Hou,40,30,0,6,13,7,4
2014,K,Justin Tucker,Bal,42,29,0,10,11,4,4
2014,K,Caleb Sturgis,Mia,41,29,1,12,7,6,3
2014,K,Matt Bryant,Atl,40,29,0,10,4,8,7
2014,K,Graham Gano,Car,34,29,0,7,12,9,1
2014,K,Nick Folk,NYJ,23,32,0,13,7,9,3
2014,K,Mike Nugent,Cin,39,26,0,6,10,10,0
2014,K,Josh Brown,NYG,44,24,1,6,9,4,4
2014,K,Chandler Catanzaro,Ari,27,29,0,5,12,10,2
2014,K,Cairo Santos,KC,38,25,1,10,6,7,1
2014,K,Phil Dawson,SF,33,25,0,6,8,5,6
2014,K,Blair Walsh,Min,29,26,2,4,8,7,5
2014,K,Nick Novak,SD,40,22,1,6,8,4,3
2014,K,Greg Zuerlein,Stl,34,24,1,6,10,2,5
2014,K,Kai Forbath,Was,31,24,0,11,6,7,0
2014,K,Shayne Graham,NO,46,19,0,6,9,3,1
2014,K,Billy Cundiff,Cle,28,22,0,6,10,5,1
2014,K,Patrick Murray,TB,31,20,0,2,7,6,5
2014,K,Sebastian Janikowski,Oak,28,19,0,2,5,9,3
2014,K,Matt Prater,Det,21,21,0,8,4,6,3
2014,K,Ryan Succop,Ten,27,19,0,5,7,5,2
2014,K,Josh Scobee,Jax,23,20,0,3,7,7,3
2014,K,Brandon McManus,Den,41,9,0,5,2,2,0
2014,K,Connor Barth,Den,15,15,2,4,5,3,1
2014,K,Robbie Gould,Chi,28,9,0,4,2,3,0
2014,K,Nate Freese,Det,6,3,0,2,1,0,0
2014,K,Jay Feely,Chi,5,3,0,1,1,1,0
2014,K,Garrett Hartley,Cle,2,3,0,0,2,1,0
2014,K,Alex Henery,Det,5,1,0,0,0,0,1
2013,K,Stephen Gostkowski,NE,44,38,1,8,13,11,5
2013,K,Matt Prater,Den,75,25,2,4,5,8,6
2013,K,Nick Novak,SD,42,34,1,9,13,9,2
2013,K,Steven Hauschka,Sea,44,33,0,10,9,11,3
2013,K,Mason Crosby,GB,42,33,1,13,8,6,5
2013,K,Phil Dawson,SF,44,32,0,12,6,10,4
2013,K,Justin Tucker,Bal,26,38,0,10,12,10,6
2013,K,Adam Vinatieri,Ind,34,35,0,6,10,15,4
2013,K,Dan Bailey,Dal,47,28,2,2,8,10,6
2013,K,Dan Carpenter,Buf,32,33,0,13,6,10,4
2013,K,Shaun Suisham,Pit,39,30,0,9,13,8,0
2013,K,Jay Feely,Ari,37,30,0,9,7,11,3
2013,K,Nick Folk,NYJ,27,33,0,8,10,12,3
2013,K,Robbie Gould,Chi,45,26,0,11,6,6,3
2013,K,Blair Walsh,Min,43,26,0,7,12,5,2
2013,K,Ryan Succop,KC,52,22,0,6,9,6,1
2013,K,Rob Bironas,Ten,41,25,0,10,8,5,2
2013,K,Graham Gano,Car,42,24,0,9,4,5,6
2013,K,Alex Henery,Phi,45,23,0,8,7,7,1
2013,K,Greg Zuerlein,Stl,34,26,0,7,10,8,1
2013,K,Matt Bryant,Atl,39,24,0,9,7,5,3
2013,K,Caleb Sturgis,Mia,33,26,1,4,10,8,3
2013,K,Garrett Hartley,NO,41,22,2,5,5,9,1
2013,K,Mike Nugent,Cin,52,18,0,2,6,7,3
2013,K,Randy Bullock,Hou,26,26,1,7,5,12,1
2013,K,Josh Brown,NYG,31,23,0,8,7,7,1
2013,K,Sebastian Janikowski,Oak,37,21,0,6,4,8,3
2013,K,Rian Lindell,TB,31,23,0,3,12,4,4
2013,K,David Akers,Det,42,19,1,5,6,4,3
2013,K,Billy Cundiff,Cle,32,21,0,7,5,7,2
2013,K,Josh Scobee,Jax,22,23,0,3,12,4,4
2013,K,Kai Forbath,Was,26,18,0,3,10,4,1
2013,K,John Potter,Was,7,3,0,2,0,1,0
2013,K,Shayne Graham,NO,7,2,0,1,0,1,0
2013,K,Spencer Lanning,Cle,1,0,0,0,0,0,0
2012,K,Stephen Gostkowski,NE,66,29,0,8,10,9,2
2012,K,Lawrence Tynes,NYG,46,33,0,11,14,7,1
2012,K,Matt Bryant,Atl,44,33,1,8,10,10,4
2012,K,Blair Walsh,Min,36,35,0,10,8,7,10
2012,K,Shayne Graham,Hou,45,31,1,8,11,7,4
2012,K,Jason Hanson,Det,38,32,1,3,10,16,2
2012,K,Matt Prater,Den,55,26,1,7,10,5,3
2012,K,Justin Tucker,Bal,42,30,0,8,8,10,4
2012,K,David Akers,SF,44,29,1,8,11,7,2
2012,K,Dan Bailey,Dal,37,29,1,5,13,7,3
2012,K,Connor Barth,TB,39,28,0,7,3,12,6
2012,K,Steven Hauschka,Sea,46,24,1,7,10,5,1
2012,K,Sebastian Janikowski,Oak,25,31,1,9,10,5,6
2012,K,Shaun Suisham,Pit,34,28,0,7,8,12,1
2012,K,Phil Dawson,Cle,29,29,0,8,8,6,7
2012,K,Adam Vinatieri,Ind,37,26,1,8,4,9,4
2012,K,Mason Crosby,GB,50,21,0,5,5,9,2
2012,K,Garrett Hartley,NO,57,18,0,9,4,2,3
2012,K,Rob Bironas,Ten,35,25,0,6,13,5,1
2012,K,Alex Henery,Phi,25,27,0,8,8,11,0
2012,K,Rian Lindell,Buf,39,21,1,3,10,6,1
2012,K,Ryan Succop,KC,17,28,0,4,12,10,2
2012,K,Jay Feely,Ari,25,25,0,6,9,8,2
2012,K,Robbie Gould,Chi,33,21,0,7,5,7,2
2012,K,Greg Zuerlein,Stl,26,23,1,4,4,7,7
2012,K,Nick Folk,NYJ,30,21,0,7,6,5,3
2012,K,Josh Scobee,Jax,18,25,1,4,8,11,1
2012,K,Dan Carpenter,Mia,26,22,0,3,9,8,2
2012,K,Mike Nugent,Cin,35,19,2,5,5,6,1
2012,K,Nick Novak,SD,33,18,1,5,6,4,2
2012,K,Kai Forbath,Was,33,17,0,3,2,11,1
2012,K,Graham Gano,Car,20,9,0,3,3,2,1
2012,K,Justin Medlock,Car,23,7,0,2,3,2,0
2012,K,Josh Brown,Cin,8,11,0,3,4,3,1
2012,K,Billy Cundiff,Was,17,7,0,1,3,3,0
2012,K,Nate Kaeding,SD,9,8,1,3,0,4,0
2012,K,Olindo Mare,Chi,7,6,0,2,3,1,0
